keyword,adj_102
초량1941,맛없다 힘들다 있다 무섭다 어둡다 두껍다 빠르다 없다 춥다 급하다 귀엽다 가볍다 갑작스럽다 아쉽다 추우다 같다 그렇다 예쁘다 알차다 지나치다 고르다 야무지다 흔하다 안녕하다 작다 다 낫다 크다 넓다 맛있다 아깝다 높다 걸맞다 싫다 많다 엄청나다 쉽다 시끄럽다 멀다 진하다 빡세다 낡다 늦다 맑다 낮다 흐리다 더럽다 심하다 과하다 뜨겁다 밝다 나쁘다 르다 즐겁다 남다르다 적다 얇다 깊다 나다 재미있다 무겁다 저렇다 드물다 멋지다 길다 짧다 어렵다 차갑다 부드럽다 편하다 갓다 덥다 가파르다 괜찮다 가깝다 뽀얗다 좁다 묘하다 맵다 좋다 새롭다 비싸다 뒤늦다 똑같다 맛나다 재밌다 이쁘다 알맞다
초량교회,맛없다 아쉬우다 안타깝다 힘들다 덜하다 인상깊다 있다 부럽다 못지않다 무섭다 두껍다 어둡다 빠르다 어리다 쎄다 없다 춥다 급하다 가볍다 귀엽다 손쉽다 힘드다 아쉽다 색다르다 손색없다 같다 그렇다 예쁘다 상관없다 해맑다 아름답다 알차다 싱겁다 착하다 지나치다 하얗다 그립다 멋있다 놀랍다 고르다 앙증맞다 찐하다 정겹다 습하다 야무지다 힘겹다 흔하다 작다 이렇다 희다 다 낫다 부끄럽다 크다 넓다 고프다 맛있다 수많다 반갑다 아깝다 높다 잦다 기쁘다 겉다 까맣다 걸맞다 싫다 더우다 많다 엄청나다 스럽다 쉽다 시끄럽다 멀다 강하다 틀림없다 진하다 귀찮다 죠다 낡다 늦다 빡세다 맑다 낮다 정신없다 뛰어나다 동그랗다 흐리다 아프다 더럽다 심하다 사이좋다 과하다 옳다 밝다 뜨겁다 나쁘다 어이없다 낯설다 어떠다 르다 뜻깊다 즐겁다 적다 얇다 비좁다 깊다 나다 재미있다 무겁다 저렇다 드물다 어지럽다 젊다 웁다 고맙다 멋지다 귀하다 길다 외롭다 짧다 바쁘다 어렵다 차갑다 굳다 우연찮다 귀여우다 부드럽다 편하다 갓다 어딨다 덥다 가파르다 싸다 괜찮다 배부르다 굵다 따갑다 가깝다 뽀얗다 어떻다 좁다 재미없다 묘하다 무지하다 섭하다 어려우다 맵다 슬프다 좋다 세다 새롭다 험하다 붉다 연하다 환하다 곱다 시다 아무렇다 검다 배고프다 푸르다 약하다 비싸다 예뿌다 뒤늦다 똑같다 파랗다 맛나다 지겹다 재밌다 힘차다 이쁘다 짙다 알맞다 느리다
초량밀면,맛없다 덜하다 힘들다 인상깊다 있다 부럽다 무섭다 두껍다 빠르다 없다 춥다 급하다 귀엽다 가볍다 힘드다 아쉽다 같다 그렇다 예쁘다 알차다 싱겁다 지나치다 고르다 정겹다 야무지다 흔하다 작다 이렇다 다 낫다 크다 고프다 넓다 맛있다 수많다 아깝다 높다 걸맞다 싫다 많다 엄청나다 쉽다 시끄럽다 멀다 강하다 진하다 귀찮다 뿌옇다 늦다 낡다 맑다 낮다 흐리다 더럽다 뜨겁다 밝다 나쁘다 잘다 르다 즐겁다 적다 얇다 질기다 깊다 나다 재미있다 슴슴하다 젊다 고맙다 멋지다 길다 짧다 바쁘다 어렵다 차갑다 부드럽다 편하다 덥다 싸다 배부르다 괜찮다 굵다 가깝다 뽀얗다 좁다 무지하다 섭하다 찹다 맵다 좋다 새롭다 붉다 환하다 시다 배고프다 비싸다 뒤늦다 똑같다 맛나다 재밌다 이쁘다 수줍다
초원숲속캠핑장,맛없다 부드럽다 낮다 편하다 작다 있다 부럽다 덥다 배부르다 무섭다 괜찮다 어둡다 다 빠르다 쎄다 밝다 춥다 없다 크다 귀엽다 넓다 급하다 맛있다 나쁘다 맵다 좋다 수많다 르다 아깝다 높다 얇다 같다 그렇다 예쁘다 재미있다 많다 젊다 똑같다 멀다 맛나다 재밌다 이쁘다 짧다 바쁘다 차갑다 야무지다 늦다
최뼈다구해장국,맑다 부드럽다 힘들다 낮다 편하다 흐리다 작다 갓다 있다 부럽다 심하다 실하다 이렇다 어딨다 배부르다 괜찮다 희다 다 빠르다 가깝다 뜨겁다 좁다 없다 크다 넓다 귀엽다 맛있다 나쁘다 맵다 아쉽다 좋다 세다 낯설다 르다 즐겁다 높다 적다 같다 그렇다 깊다 나다 싫다 알차다 무겁다 착하다 배고프다 슴슴하다 약하다 많다 엄청나다 뒤늦다 세차다 길다 쉽다 빨갛다 멀다 맛나다 재밌다 이쁘다 바쁘다 틀림없다 죠다 귀찮다 야무지다 늦다
추리문학관,맛없다 힘들다 눈부시다 있다 부럽다 무섭다 어둡다 두껍다 빠르다 조그맣다 어리다 없다 춥다 급하다 귀엽다 힘드다 같다 그렇다 예쁘다 해맑다 아름답다 착하다 잽싸다 지나치다 그립다 멋있다 놀랍다 고르다 찐하다 정겹다 작다 희다 다 낫다 부끄럽다 크다 넓다 맛있다 수많다 아깝다 반갑다 높다 까맣다 싫다 많다 스럽다 세차다 쉽다 멀다 얕다 진하다 귀찮다 낡다 늦다 맑다 낮다 아프다 더럽다 오래다 옳다 밝다 나쁘다 잘다 기름지다 낯설다 즐겁다 르다 적다 얇다 조다 깊다 재미있다 무겁다 드물다 젊다 고맙다 멋지다 하찮다 귀하다 길다 외롭다 재빠르다 짧다 어렵다 굳다 차갑다 차다 뜨다 쓸데없다 부드럽다 편하다 갓다 어딨다 덥다 싸다 배부르다 괜찮다 따갑다 가깝다 어떻다 재미없다 좁다 찹다 슬프다 맵다 좋다 험하다 새롭다 붉다 곱다 시다 푸르다 검다 똑같다 맛나다 지겹다 재밌다 이쁘다 짙다 알맞다 느리다
춘하추동,맛없다 아쉬우다 힘들다 있다 부럽다 빠르다 쎄다 없다 춥다 급하다 가볍다 아쉽다 같다 예쁘다 그렇다 알차다 착하다 지나치다 찐하다 야무지다 드넓다 작다 실하다 이렇다 다 낫다 크다 넓다 맛있다 아깝다 높다 싫다 많다 시끄럽다 멀다 진하다 귀찮다 빡세다 늦다 맑다 낮다 심하다 옳다 밝다 나쁘다 잘다 기름지다 르다 적다 얇다 질기다 깊다 재미있다 저렇다 젊다 멋지다 귀하다 길다 재빠르다 짧다 어렵다 차다 굳다 부드럽다 편하다 덥다 싸다 배부르다 괜찮다 굵다 가깝다 좁다 묘하다 맵다 좋다 붉다 푸르다 배고프다 비싸다 뒤늦다 맛나다 재밌다 이쁘다 노랗다 느리다
충렬사,안타깝다 부드럽다 낮다 동그랗다 편하다 작다 더럽다 있다 이렇다 비리다 싸다 무섭다 굵다 괜찮다 다 가깝다 뜨겁다 좁다 묘하다 없다 크다 급하다 가볍다 맛있다 나쁘다 아쉽다 좋다 기름지다 새롭다 붉다 르다 높다 적다 얇다 질기다 같다 예쁘다 깊다 그렇다 아름답다 싫다 지나치다 많다 젊다 진하다 엄청나다 비싸다 멋지다 귀하다 뒤늦다 길다 똑같다 쉽다 멀다 재밌다 이쁘다 짧다 짙다 어렵다 노랗다 어떻다 야무지다 늦다
친환경 스카이웨이 전망대(이바구길),맛없다 힘들다 빠르다 조그맣다 쎄다 춥다 귀엽다 힘드다 아쉽다 갑작스럽다 같다 그렇다 상관없다 정겹다 습하다 야무지다 힘겹다 드넓다 고프다 기쁘다 많다 귀찮다 죠다 맑다 낮다 더럽다 과하다 오래다 옳다 얇다 비좁다 조다 깊다 저렇다 드물다 고맙다 하찮다 재빠르다 짧다 굳다 뜬금없다 편하다 덥다 가파르다 싸다 굵다 어려우다 슬프다 시다 검다 배고프다 노랗다 커다랗다 있다 없다 가볍다 손색없다 알차다 멋있다 찐하다 흔하다 이렇다 부끄럽다 맛있다 아깝다 높다 겉다 싫다 엄청나다 빡세다 낡다 정신없다 동그랗다 사이좋다 잘다 어떠다 즐겁다 틀리다 나다 웁다 외롭다 바쁘다 귀여우다 가깝다 찹다 험하다 새롭다 붉다 곱다 뒤늦다 똑같다 파랗다 재밌다 힘차다 이쁘다 수줍다 알맞다 아쉬우다 안타깝다 비리다 못지않다 무섭다 어둡다 급하다 손쉽다 색다르다 싱겁다 하얗다 놀랍다 앙증맞다 작다 다 크다 잦다 더우다 스럽다 세차다 쉽다 멀다 강하다 얕다 뿌옇다 흐리다 아프다 심하다 밝다 뜨겁다 나쁘다 어이없다 낯설다 뜻깊다 질기다 재미있다 슴슴하다 어지럽다 젊다 궂다 멋지다 어렵다 차갑다 우연찮다 쓸데없다 부드럽다 활기차다 갓다 어딨다 좁다 재미없다 거칠다 좋다 약하다 비싸다 예뿌다 지겹다 느리다 덜하다 눈부시다 인상깊다 부럽다 두껍다 어리다 해맑다 예쁘다 아름답다 잽싸다 지나치다 그립다 고르다 안녕하다 징그럽다 실하다 희다 낫다 넓다 수많다 반갑다 재미나다 걸맞다 시끄럽다 틀림없다 진하다 늦다 뛰어나다 르다 남다르다 적다 무겁다 길다 차다 가까우다 배부르다 괜찮다 따갑다 묘하다 섭하다 맵다 세다 환하다 아무렇다 푸르다 맛나다 짙다 어떻다
칠암사계,아쉬우다 맛없다 힘들다 인상깊다 있다 부럽다 무섭다 어둡다 빠르다 어리다 없다 춥다 귀엽다 가볍다 힘드다 아쉽다 그렇다 같다 예쁘다 상관없다 아름답다 알차다 잽싸다 하얗다 멋있다 놀랍다 고르다 습하다 야무지다 작다 이렇다 다 낫다 크다 넓다 맛있다 수많다 아깝다 반갑다 높다 겉다 걸맞다 싫다 많다 엄청나다 쉽다 멀다 진하다 귀찮다 늦다 맑다 알맞다 정신없다 낮다 흐리다 아프다 심하다 밝다 나쁘다 어이없다 잘다 기름지다 낯설다 르다 즐겁다 뜻깊다 틀리다 적다 조다 깊다 나다 재미있다 저렇다 고맙다 멋지다 길다 짧다 차다 귀여우다 쓸데없다 부드럽다 편하다 덥다 배부르다 싸다 괜찮다 굵다 가깝다 뽀얗다 좁다 맵다 좋다 세다 새롭다 붉다 연하다 시다 푸르다 검다 비싸다 뒤늦다 맛나다 재밌다 이쁘다 어떻다 느리다
칠암항,맛없다 힘들다 있다 못지않다 두껍다 빠르다 없다 가볍다 귀엽다 아쉽다 같다 그렇다 예쁘다 아름답다 그립다 고르다 앙증맞다 정겹다 작다 다 크다 고프다 넓다 맛있다 수많다 반갑다 높다 잦다 싫다 많다 쉽다 멀다 강하다 얕다 늦다 맑다 낮다 아프다 밝다 나쁘다 즐겁다 르다 적다 얇다 깊다 재미있다 저렇다 궂다 멋지다 길다 빨갛다 짧다 바쁘다 차다 부드럽다 편하다 가까우다 덥다 괜찮다 가깝다 좁다 슬프다 좋다 세다 새롭다 붉다 검다 비싸다 지겹다 맛나다 재밌다 힘차다 이쁘다 알맞다
카가와식당,맛없다 힘들다 눈부시다 있다 빠르다 쎄다 없다 춥다 급하다 귀엽다 가볍다 힘드다 아쉽다 같다 예쁘다 그렇다 알차다 착하다 지나치다 멋있다 놀랍다 안녕하다 작다 이렇다 다 크다 고프다 넓다 맛있다 아깝다 반갑다 높다 많다 엄청나다 쉽다 멀다 강하다 진하다 귀찮다 뿌옇다 늦다 맑다 뛰어나다 동그랗다 흐리다 심하다 사이좋다 밝다 나쁘다 어이없다 낯설다 잘다 르다 즐겁다 적다 얇다 깊다 나다 재미있다 저렇다 젊다 하찮다 멋지다 길다 짧다 바쁘다 어렵다 차갑다 굳다 부드럽다 편하다 가까우다 갓다 덥다 싸다 괜찮다 배부르다 가깝다 좁다 찹다 맵다 슬프다 좋다 세다 연하다 시다 비싸다 뒤늦다 똑같다 맛나다 재밌다 이쁘다 알맞다
카운트다운&해맞이축제,맛없다 힘들다 있다 부럽다 어둡다 두껍다 빠르다 쎄다 없다 춥다 급하다 귀엽다 가볍다 갑작스럽다 아쉽다 힘드다 추우다 같다 그렇다 예쁘다 아름답다 알차다 착하다 지나치다 멋있다 놀랍다 고르다 앙증맞다 야무지다 힘겹다 작다 이렇다 실하다 다 낫다 부끄럽다 크다 넓다 맛있다 수많다 반갑다 높다 겉다 싫다 많다 엄청나다 스럽다 쉽다 멀다 강하다 진하다 귀찮다 낡다 뿌옇다 늦다 맑다 낮다 정신없다 흐리다 아프다 심하다 과하다 밝다 나쁘다 어떠다 르다 즐겁다 적다 조다 깊다 재미있다 저렇다 고맙다 하찮다 멋지다 길다 짧다 바쁘다 어렵다 차다 뜨다 부드럽다 편하다 갓다 활기차다 어딨다 덥다 배부르다 싸다 괜찮다 굵다 가깝다 좁다 재미없다 무지하다 좋다 새롭다 세다 붉다 검다 비싸다 뒤늦다 똑같다 지겹다 파랗다 맛나다 재밌다 힘차다 이쁘다 어떻다
칸다소바,맛없다 힘들다 비리다 있다 부럽다 두껍다 빠르다 쎄다 없다 춥다 급하다 아쉽다 같다 그렇다 알차다 지나치다 놀랍다 찐하다 야무지다 작다 이렇다 희다 다 크다 고프다 넓다 맛있다 높다 싫다 많다 엄청나다 쉽다 강하다 귀찮다 낡다 늦다 맑다 낮다 흐리다 과하다 사이좋다 밝다 나쁘다 잘다 기름지다 르다 얇다 깊다 저렇다 드물다 슴슴하다 젊다 하찮다 멋지다 길다 짧다 어렵다 쓸데없다 부드럽다 편하다 덥다 배부르다 괜찮다 가깝다 묘하다 맵다 좋다 세다 연하다 비싸다 뒤늦다 똑같다 맛나다 재밌다 이쁘다
캐니언파크 부산,맛없다 안타깝다 아쉬우다 힘들다 눈부시다 비리다 인상깊다 있다 부럽다 못지않다 무섭다 어둡다 두껍다 빠르다 어리다 쎄다 없다 급하다 귀엽다 가볍다 춥다 손쉽다 갑작스럽다 힘드다 아쉽다 색다르다 같다 예쁘다 그렇다 상관없다 알차다 착하다 아름답다 싱겁다 잽싸다 지나치다 하얗다 멋있다 놀랍다 고르다 앙증맞다 찐하다 정겹다 습하다 야무지다 힘겹다 안녕하다 작다 이렇다 징그럽다 희다 다 낫다 부끄럽다 크다 고프다 넓다 맛있다 수많다 아깝다 반갑다 높다 기쁘다 겉다 재미나다 까맣다 걸맞다 싫다 더우다 많다 엄청나다 스럽다 세차다 쉽다 시끄럽다 멀다 강하다 얕다 진하다 귀찮다 빡세다 낡다 늦다 죠다 뿌옇다 맑다 낮다 정신없다 동그랗다 흐리다 아프다 더럽다 심하다 오래다 옳다 뜨겁다 밝다 나쁘다 어이없다 쩔다 잘다 기름지다 낯설다 즐겁다 르다 뜻깊다 틀리다 적다 얇다 질기다 조다 깊다 나다 재미있다 저렇다 무겁다 어지럽다 젊다 웁다 궂다 하찮다 멋지다 고맙다 길다 빨갛다 외롭다 짧다 바쁘다 어렵다 굳다 차다 차갑다 우연찮다 귀여우다 뜨다 쓸데없다 뜬금없다 부드럽다 편하다 가까우다 갓다 어딨다 덥다 싸다 배부르다 괜찮다 굵다 가깝다 어떻다 좁다 재미없다 묘하다 무지하다 어려우다 찹다 맵다 좋다 세다 새롭다 슬프다 붉다 거칠다 연하다 환하다 곱다 시다 아무렇다 배고프다 푸르다 검다 비싸다 뒤늦다 예뿌다 똑같다 지겹다 맛나다 재밌다 힘차다 이쁘다 수줍다 알맞다 느리다
캐비네 드 쁘아쏭(미디어 갤러리),맛없다 힘들다 빠르다 조그맣다 쎄다 춥다 귀엽다 갑작스럽다 힘드다 아쉽다 같다 그렇다 상관없다 정겹다 습하다 야무지다 힘겹다 드넓다 고프다 기쁘다 많다 귀찮다 죠다 맑다 낮다 더럽다 과하다 오래다 옳다 얇다 비좁다 조다 깊다 저렇다 드물다 하찮다 고맙다 재빠르다 짧다 굳다 뜬금없다 편하다 덥다 싸다 가파르다 굵다 뽀얗다 슬프다 시다 검다 배고프다 노랗다 커다랗다 있다 없다 가볍다 알차다 멋있다 찐하다 흔하다 이렇다 부끄럽다 맛있다 아깝다 높다 겉다 싫다 엄청나다 빡세다 낡다 정신없다 동그랗다 잘다 어떠다 즐겁다 틀리다 나다 웁다 빨갛다 바쁘다 귀여우다 가깝다 찹다 험하다 새롭다 붉다 연하다 곱다 뒤늦다 똑같다 파랗다 재밌다 힘차다 이쁘다 수줍다 알맞다 아쉬우다 안타깝다 비리다 못지않다 무섭다 어둡다 급하다 손쉽다 추우다 색다르다 싱겁다 착하다 하얗다 놀랍다 앙증맞다 작다 다 크다 잦다 더우다 세차다 쉽다 멀다 강하다 얕다 뿌옇다 흐리다 아프다 심하다 밝다 뜨겁다 나쁘다 어이없다 낯설다 뜻깊다 질기다 재미있다 어지럽다 궂다 젊다 멋지다 귀하다 어렵다 차갑다 우연찮다 뜨다 쓸데없다 부드럽다 갓다 활기차다 어딨다 좁다 재미없다 무지하다 좋다 비싸다 예뿌다 지겹다 느리다 덜하다 눈부시다 인상깊다 부럽다 두껍다 어리다 해맑다 예쁘다 아름답다 잽싸다 지나치다 그립다 고르다 안녕하다 실하다 징그럽다 희다 낫다 넓다 수많다 반갑다 재미나다 걸맞다 시끄럽다 틀림없다 진하다 늦다 뛰어나다 르다 남다르다 적다 무겁다 길다 차다 가까우다 배부르다 괜찮다 묘하다 섭하다 맵다 세다 환하다 아무렇다 푸르다 맛나다 짙다 어떻다
커피어웨이크,맛없다 맑다 부드럽다 편하다 있다 덥다 괜찮다 빠르다 가깝다 재미없다 없다 크다 춥다 급하다 귀엽다 맛있다 나쁘다 야무지다 슬프다 아쉽다 좋다 낯설다 아깝다 적다 같다 그렇다 예쁘다 재미있다 싫다 많다 엄청나다 길다 놀랍다 똑같다 쉽다 멀다 맛나다 재밌다 바쁘다 어렵다 진하다 귀찮다 빡세다 늦다
코하루,맛없다 커다랗다 안타깝다 힘들다 비리다 인상깊다 있다 부럽다 못지않다 무섭다 두껍다 어둡다 빠르다 어리다 없다 춥다 급하다 가볍다 귀엽다 힘드다 갑작스럽다 아쉽다 같다 그렇다 예쁘다 해맑다 알차다 착하다 싱겁다 아름답다 지나치다 하얗다 그립다 멋있다 놀랍다 앙증맞다 찐하다 야무지다 작다 실하다 이렇다 다 낫다 부끄럽다 크다 넓다 맛있다 수많다 아깝다 높다 겉다 까맣다 걸맞다 싫다 더우다 많다 엄청나다 쉽다 시끄럽다 멀다 강하다 틀림없다 진하다 귀찮다 죠다 낡다 늦다 빡세다 맑다 정신없다 낮다 흐리다 아프다 심하다 과하다 뜨겁다 밝다 나쁘다 어이없다 쩔다 기름지다 잘다 낯설다 르다 틀리다 즐겁다 적다 얇다 조다 깊다 나다 무겁다 저렇다 드물다 어지럽다 고맙다 멋지다 길다 재빠르다 짧다 바쁘다 어렵다 굳다 차다 차갑다 뜬금없다 부드럽다 편하다 가까우다 어딨다 덥다 싸다 괜찮다 배부르다 가깝다 좁다 재미없다 무지하다 맵다 슬프다 좋다 세다 새롭다 붉다 환하다 곱다 시다 푸르다 검다 비싸다 예뿌다 뒤늦다 똑같다 지겹다 맛나다 재밌다 힘차다 이쁘다 어떻다
크리스마스트리문화축제,맛없다 아쉬우다 힘들다 있다 부럽다 무섭다 어둡다 빠르다 없다 춥다 급하다 귀엽다 아쉽다 같다 예쁘다 해맑다 그렇다 알차다 아름답다 잽싸다 그립다 멋있다 놀랍다 야무지다 드넓다 작다 이렇다 다 크다 고프다 넓다 맛있다 수많다 아깝다 반갑다 높다 까맣다 걸맞다 싫다 많다 엄청나다 쉽다 멀다 강하다 귀찮다 낡다 늦다 맑다 알맞다 낮다 아프다 밝다 뜨겁다 나쁘다 어이없다 낯설다 잘다 즐겁다 르다 적다 얇다 깊다 나다 재미있다 무겁다 궂다 젊다 고맙다 멋지다 하찮다 길다 짧다 바쁘다 어렵다 뜬금없다 부드럽다 편하다 가까우다 싸다 괜찮다 가깝다 좁다 묘하다 거칠다 좋다 새롭다 붉다 환하다 검다 비싸다 예뿌다 뒤늦다 똑같다 재밌다 이쁘다 어떻다 느리다
키자니아 부산,아쉬우다 안타깝다 맛없다 힘들다 인상깊다 있다 부럽다 못지않다 무섭다 두껍다 빠르다 어리다 없다 춥다 급하다 귀엽다 가볍다 손쉽다 힘드다 아쉽다 색다르다 손색없다 같다 그렇다 예쁘다 상관없다 알차다 착하다 아름답다 잽싸다 지나치다 하얗다 그립다 멋있다 고르다 습하다 야무지다 흔하다 안녕하다 작다 이렇다 희다 다 낫다 부끄럽다 크다 고프다 넓다 맛있다 수많다 아깝다 높다 기쁘다 싫다 많다 엄청나다 쉽다 멀다 강하다 얕다 진하다 귀찮다 빡세다 죠다 늦다 맑다 낮다 정신없다 동그랗다 흐리다 아프다 심하다 사이좋다 오래다 밝다 뜨겁다 나쁘다 낯설다 잘다 즐겁다 르다 뜻깊다 적다 얇다 질기다 깊다 나다 재미있다 무겁다 저렇다 어지럽다 젊다 고맙다 멋지다 길다 재빠르다 짧다 바쁘다 어렵다 굳다 차다 부드럽다 편하다 활기차다 덥다 배부르다 싸다 괜찮다 가깝다 좁다 재미없다 무지하다 어려우다 맵다 슬프다 좋다 새롭다 아무렇다 푸르다 비싸다 똑같다 맛나다 재밌다 이쁘다 어떻다
킴스아트필드미술관,힘들다 있다 무섭다 어둡다 두껍다 어리다 없다 귀엽다 가볍다 아쉽다 같다 그렇다 예쁘다 아름답다 알차다 하얗다 멋있다 놀랍다 야무지다 작다 이렇다 징그럽다 다 크다 넓다 맛있다 수많다 아깝다 높다 기쁘다 싫다 많다 엄청나다 쉽다 멀다 뿌옇다 늦다 맑다 낮다 아프다 밝다 르다 즐겁다 틀리다 얇다 조다 깊다 나다 재미있다 무겁다 저렇다 젊다 고맙다 멋지다 길다 외롭다 짧다 바쁘다 어렵다 우연찮다 부드럽다 편하다 덥다 괜찮다 굵다 가깝다 좁다 슬프다 맵다 좋다 새롭다 붉다 시다 푸르다 비싸다 똑같다 지겹다 재밌다 이쁘다 짙다 느리다
탐복,맛없다 힘들다 비리다 있다 못지않다 무섭다 빠르다 쎄다 없다 급하다 귀엽다 가볍다 아쉽다 같다 예쁘다 그렇다 알차다 멋있다 찐하다 야무지다 작다 이렇다 다 낫다 크다 고프다 넓다 맛있다 수많다 아깝다 겉다 걸맞다 싫다 더우다 많다 엄청나다 쉽다 시끄럽다 멀다 진하다 귀찮다 빡세다 늦다 맑다 옳다 밝다 나쁘다 어이없다 잘다 르다 적다 질기다 깊다 재미있다 저렇다 고맙다 길다 짧다 차다 부드럽다 편하다 덥다 싸다 배부르다 괜찮다 좁다 거칠다 좋다 세다 비싸다 똑같다 맛나다 이쁘다 수줍다 어떻다
태종대 전망대,커다랗다 힘들다 있다 빠르다 쎄다 춥다 없다 귀엽다 가볍다 힘드다 아쉽다 같다 그렇다 예쁘다 알차다 착하다 아름답다 잽싸다 지나치다 멋있다 습하다 안녕하다 드넓다 작다 다 크다 고프다 넓다 맛있다 수많다 아깝다 반갑다 높다 잦다 싫다 많다 엄청나다 쉽다 시끄럽다 멀다 강하다 귀찮다 늦다 맑다 낮다 아프다 심하다 밝다 나쁘다 기름지다 르다 즐겁다 적다 얇다 깊다 나다 재미있다 무겁다 웁다 젊다 고맙다 멋지다 길다 짧다 바쁘다 차다 굳다 차갑다 편하다 활기차다 덥다 가파르다 싸다 괜찮다 배부르다 가깝다 좁다 묘하다 어려우다 맵다 좋다 세다 새롭다 환하다 아무렇다 검다 푸르다 비싸다 똑같다 파랗다 맛나다 힘차다 이쁘다 짙다
태종대스쿠버다이빙,힘들다 있다 부럽다 무섭다 어둡다 빠르다 없다 춥다 귀엽다 힘드다 아쉽다 해맑다 그렇다 같다 예쁘다 상관없다 아름답다 착하다 잽싸다 지나치다 그립다 멋있다 놀랍다 야무지다 드넓다 작다 다 크다 고프다 넓다 맛있다 수많다 반갑다 높다 기쁘다 까맣다 걸맞다 싫다 많다 엄청나다 쉽다 멀다 강하다 얕다 귀찮다 빡세다 늦다 맑다 아프다 사이좋다 오래다 밝다 나쁘다 르다 즐겁다 남다르다 적다 얇다 깊다 나다 재미있다 무겁다 드물다 젊다 고맙다 멋지다 귀하다 길다 짧다 바쁘다 어렵다 차다 편하다 어딨다 싸다 괜찮다 따갑다 가깝다 좁다 무지하다 거칠다 슬프다 좋다 세다 아무렇다 검다 비싸다 똑같다 맛나다 재밌다 이쁘다 어떻다 느리다
태종대온천찜질방,맛없다 힘들다 빠르다 조그맣다 쎄다 춥다 귀엽다 힘드다 갑작스럽다 아쉽다 같다 그렇다 상관없다 정겹다 습하다 야무지다 힘겹다 드넓다 고프다 기쁘다 많다 귀찮다 죠다 맑다 낮다 더럽다 오래다 옳다 기름지다 얇다 비좁다 조다 깊다 저렇다 드물다 고맙다 재빠르다 짧다 굳다 뜬금없다 편하다 덥다 가파르다 싸다 굵다 뽀얗다 어려우다 슬프다 시다 배고프다 검다 노랗다 커다랗다 있다 없다 가볍다 손색없다 알차다 멋있다 찐하다 흔하다 이렇다 부끄럽다 맛있다 아깝다 높다 겉다 까맣다 싫다 엄청나다 빡세다 낡다 정신없다 동그랗다 사이좋다 잘다 즐겁다 틀리다 나다 웁다 빨갛다 외롭다 바쁘다 가깝다 찹다 험하다 새롭다 붉다 연하다 곱다 뒤늦다 똑같다 파랗다 재밌다 힘차다 이쁘다 수줍다 알맞다 아쉬우다 안타깝다 비리다 못지않다 무섭다 어둡다 급하다 손쉽다 추우다 색다르다 착하다 싱겁다 하얗다 놀랍다 앙증맞다 작다 다 크다 잦다 더우다 스럽다 세차다 쉽다 멀다 강하다 얕다 뿌옇다 흐리다 아프다 심하다 밝다 뜨겁다 나쁘다 어이없다 쩔다 낯설다 뜻깊다 질기다 재미있다 어지럽다 젊다 궂다 귀하다 멋지다 어렵다 차갑다 우연찮다 뜨다 쓸데없다 부드럽다 활기차다 갓다 어딨다 좁다 재미없다 무지하다 거칠다 좋다 약하다 비싸다 예뿌다 지겹다 느리다 덜하다 눈부시다 인상깊다 부럽다 두껍다 어리다 해맑다 예쁘다 아름답다 잽싸다 지나치다 그립다 고르다 안녕하다 징그럽다 실하다 희다 낫다 넓다 수많다 반갑다 재미나다 걸맞다 시끄럽다 틀림없다 진하다 늦다 뛰어나다 르다 남다르다 적다 무겁다 길다 차다 가까우다 배부르다 괜찮다 따갑다 묘하다 섭하다 맵다 세다 환하다 아무렇다 푸르다 맛나다 짙다 어떻다
태종대일대,커다랗다 안타깝다 맛없다 힘들다 눈부시다 비리다 있다 부럽다 못지않다 무섭다 어둡다 빠르다 쎄다 없다 춥다 급하다 귀엽다 가볍다 손쉽다 힘드다 아쉽다 같다 예쁘다 그렇다 해맑다 상관없다 아름답다 알차다 착하다 지나치다 그립다 멋있다 놀랍다 고르다 정겹다 야무지다 안녕하다 드넓다 작다 이렇다 징그럽다 다 크다 고프다 넓다 맛있다 수많다 반갑다 높다 싫다 더우다 많다 엄청나다 쉽다 멀다 강하다 귀찮다 죠다 늦다 맑다 낮다 동그랗다 흐리다 아프다 심하다 오래다 뜨겁다 밝다 나쁘다 잘다 즐겁다 르다 적다 재미있다 무겁다 저렇다 드물다 웁다 젊다 고맙다 멋지다 길다 빨갛다 짧다 바쁘다 어렵다 굳다 부드럽다 편하다 가까우다 어딨다 덥다 가파르다 싸다 괜찮다 배부르다 가깝다 좁다 슬프다 맵다 세다 좋다 새롭다 붉다 환하다 검다 푸르다 약하다 비싸다 똑같다 지겹다 맛나다 재밌다 이쁘다 짙다 어떻다
